D01,Margherita,S,99
D02,Margherita,M,195
D03,Margherita,L,395
D04,Double Cheese Margherita,S,155
D05,Double Cheese Margherita,M,295
D06,Double Cheese Margherita,L,445
D07,Peppy Panner,S,195
D08,Peppy Panner,M,365
D09,Peppy Panner,L,545
D10,Deluxe Veggie,S,230
D11,Deluxe Veggie,M,440
D12,Deluxe Veggie,L,655
D13,Mexican Green Wave,S,195
D14,Mexican Green Wave,M,365
D15,Mexican Green Wave,L,545
